Year,Month,Anomaly
2005.635505,February,0.73
2005.71492,March,0.63
2005.794335,April,0.49
2005.87375,May,0.5
2005.953165,June,0.66
2006.032581,July,0.55
2006.111996,August,0.71
2006.191411,September,0.65
2006.270826,October,0.7
2006.350241,November,0.74
2006.429656,December,0.79
2006.509071,January,1.03
2006.588486,February,0.7
2006.667901,March,0.73
2006.747316,April,0.77
2006.826731,May,0.69
2006.906146,June,0.62
2006.985561,July,0.61
2007.064976,August,0.6
2007.144391,September,0.6
2007.223806,October,0.59
2007.303221,November,0.59
2007.382636,December,0.5
2007.541466,January,0.31
2007.620881,February,0.38
2007.700296,March,0.75
2007.779711,April,0.54
2007.859126,May,0.49
2007.938541,June,0.5
2008.017956,July,0.6
2008.097371,August,0.48
2008.176786,September,0.61
2008.256201,October,0.66
2008.335616,November,0.69
2008.415031,December,0.54
2008.573862,January,0.65
2008.653277,February,0.53
2008.732692,March,0.54
2008.812107,April,0.61
2008.891522,May,0.65
2008.970937,June,0.65
2009.050352,July,0.75
2009.129767,August,0.68
2009.209182,September,0.73
2009.288597,October,0.65
2009.368012,November,0.82
2009.447427,December,0.68
2009.526842,January,0.75
2009.606257,February,0.84
2009.685672,March,0.92
2009.765087,April,0.84
2009.844502,May,0.75
2009.923917,June,0.68
2010.003332,July,0.63
2010.082747,August,0.68
2010.162162,September,0.64
2010.241577,October,0.71
2010.320992,November,0.82
2010.400407,December,0.45
2010.559237,January,0.52
2010.638652,February,0.48
2010.718067,March,0.65
2010.797482,April,0.65
2010.876897,May,0.53
2010.956312,June,0.62
2011.035728,July,0.71
2011.115143,August,0.75
2011.194558,September,0.57
2011.273973,October,0.66
2011.353388,November,0.58
2011.432803,December,0.6
2011.512218,January,0.49
2011.591633,February,0.5
2011.671048,March,0.58
2011.750463,April,0.72
2011.829878,May,0.79
2011.909293,June,0.65
2011.988708,July,0.58
2012.068123,August,0.64
2012.147538,September,0.72
2012.226953,October,0.79
2012.306368,November,0.79
2012.385783,December,0.53
2012.544613,January,0.71
2012.624028,February,0.63
2012.703443,March,0.68
2012.782858,April,0.55
2012.862273,May,0.61
2012.941688,June,0.69
2013.021103,July,0.61
2013.100518,August,0.71
2013.179933,September,0.78
2013.259348,October,0.69
2013.338763,November,0.84
2013.418178,December,0.7
2013.577009,January,0.76
2013.656424,February,0.55
2013.735839,March,0.79
2013.815254,April,0.8
2013.894669,May,0.87
2013.974084,June,0.68
2014.053499,July,0.58
2014.132914,August,0.82
2014.212329,September,0.88
2014.291744,October,0.81
2014.371159,November,0.66
2014.450574,December,0.79
2014.529989,January,0.85
2014.609404,February,0.9
2014.688819,March,0.96
2014.768234,April,0.75
2014.847649,May,0.8
2014.927064,June,0.81
2015.006479,July,0.74
2015.085894,August,0.81
2015.165309,September,0.86
2015.244724,October,1.09
2015.324139,November,1.06
2015.403554,December,1.15
2015.562384,January,1.17
2015.641799,February,1.37
2015.721214,March,1.35
2015.800629,April,1.12
2015.880044,May,0.96
2015.959459,June,0.81
2016.038874,July,0.85
2016.11829,August,1.02
2016.197705,September,0.91
2016.27712,October,0.88
2016.356535,November,0.91
2016.43595,December,0.86
2016.515365,January,1.03
2016.59478,February,1.15
2016.674195,March,1.17
2016.75361,April,0.95
2016.833025,May,0.91
2016.91244,June,0.73
2016.991855,July,0.82
2017.07127,August,0.87
2017.150685,September,0.78
2017.2301,October,0.91
2017.309515,November,0.88
2017.38893,December,0.94
2017.54776,January,0.82
2017.627175,February,0.86
2017.70659,March,0.9
2017.786005,April,0.89
2017.86542,May,0.83
2017.944835,June,0.78
2018.02425,July,0.83
2018.103665,August,0.77
2018.18308,September,0.81
2018.262495,October,1.02
2018.34191,November,0.83
2018.421325,December,0.92
2018.50074,January,0.93
2018.580155,February,0.96
2018.659571,March,1.18
2018.738986,April,1.02
2018.818401,May,0.86
2018.897816,June,0.93
2018.977231,July,0.95
2019.056646,August,0.95
2019.136061,September,0.93
2019.215476,October,1.02
2019.294891,November,1
2019.374306,December,1.1
